Term,KS1 Definition,KS2 Definition,KS3 Definition,KS4 Definition,Oak definition (if different from pre-existing),"KS5 Definition
(live on Ada platform)",BCS Definition (incomplete),Exam Board Specific Definitions (GCSE),Exam Board Specific Definitions (A Level) 
Petabyte,,,,A measurement of storage that is equivalent to 1000 terabytes,,,,,
Pipelining,,,,,,"A way of organising subtasks so that they can be processed concurrently, in such a way that one subtask feeds into the next one.",,,
Pitch,,,,This refers to the sound of the note e.g a high or low pitch (sound),,,,,
Pixel,,,,A single element of an image on a computer screen.,,The smallest addressable part of a bitmap image that corresponds to a single colour.,,,
Place value,,,,"The numerical value of a digit that appears within a number. For example, the place value of 1 in 1098 is 1 thousand.",,,,,
Plaintext,,,,,,,,,
Pointer,,,,,,"A reference to a location in memory, usually in the form of a memory address.",When used on data stored in the computer’s memory the pointer is usually the address of the data in the memory. ,,
Polymorphism,,,,,,"In OOP, the concept that different classes can be accessed through the same interface. Each class can provide its own implementation of the interface so can exhibit different behaviour.",,,
Pop,,,,,,The process of removing an item from the top of a stack.,,,
POP3,,,,,,An application layer protocol for requesting and receiving emails from an email server,,,
Port,,,,,,A number that identifies a specific network process running on a device.,,,
Port  forwarding,,,,,,,,,
Port forwarding,,,,,,A process through which a router uses port numbers to determine the destination of packets on a network.,,,
Post-order traversal,,,,,,A method of traversing a tree so that a node is processed after both its left and right subtrees have been examined.,,,
Postfix,,,,,,A notation where expressions are written with the operators after the operands.,,,
Pre-order traversal,,,,,,A method of traversing a tree so that a node is processed before either its left or right subtrees are examined.,,,
Precision,,,,,,A measure of how accurate a number is when stored using a finite amount of significant digits.,,,
Predicted result,,,,,,The output that a program should produce for a given input.,,,
Prefix,,,,,,A notation where expressions are written with the operators before the operands.,,,
Prepend operator (:),,,,,,Used to add a new single item to the front of a list.,,,
Primary key,,,,,,An attribute or group of attributes that uniquely identify a record in a database table.,,,
Printed circuit board (PCB),,,,,,A board that makes connections between electronic components. It uses conductive tracks to allow the transfer of data between components.,,,
Priority queue,,,,,,A queue in which each item has a priority associated with it that affects the position in which the item is added to the queue.,,,
Private key,,,,,,An encryption key that is kept secret and is used in conjunction with a corresponding public key for public/private key cryptography,,,
Problem reduction (abstraction),,,,,,The process of removing unnecessary detail so that the problem can be reduced to one that has already been solved.,,,
Procedure,,A named set of commands that can be called multiple times throughout a program. It is a type of subroutine that does not return a value.,,A subroutine that executes a block of code when called. It does not return a value.,,"A named section of code that can be called (executed) to perform a specific task by using the identifier (name of the procedure) in a program statement. In computer science theory, a procedure does not return a value.",is defined and given an identifier (or name). This identifier can be used subsequently just like any other program instruction.,,
Process,,"A program, or part of a program, which is running on a computer",,,,"A program, or part of a program, that is running on a computer system and using resources.",,,
Processor,,,,,,The part of a computer system that carries out the fetch-decode-execute cycle.,,,
Processor clock,,,,,,An electronic unit connected to the processor that synchronises when the fetch-decode-execute cycle runs.,"is the electronic unit that synchronises related components by generating pulses at a constant rate. Clock pulses are used to trigger components to take their next step, so keeping all components in time with each other. The clock rate is the frequency at which the clock generates pulses. The higher the clock rate, the faster the computer may work.",,
Processor performance benchmark,,,,,,A set of baseline measurements that are used to compare processor performance,,,
Processor performance measurement,,,,,,,,,
Program,A set of ordered commands that can be run by a computer in order for it to complete a task.,A set of ordered commands that can be run by a computer in order for it to complete a task.,,,,,,,
Program code,,,,,,Code written in a specific programming language.,,,
Program Counter (PC),,,,,,A register that stores the address of the next instruction to be fetched and executed.,,,
Program crash,,,,,,Unexpected and abrupt program termination.,,,
program flow,,The order in which commands are run in a program.,,,,,,,
Program translation,,,,,,The process of converting code written by a programmer into a form that can be executed by a processor.,,,
Programming paradigm,,,,,,An overall approach (guidelines and principles) to the way in which program code is written.,,,
Proper subset,,,,,,"A set that is made up of some, but not all, values from another set.",,,
Property,"Property (Attribute) - A word or a phrase which can be used to describe an object such as its colour, size or price","Property (Attribute) - A word or a phrase which can be used to describe an object such as its colour, size or price",,,,,,,
Property (CSS),,,,,,"An attribute of an HTML element that can be styled, e.g. the background colour or the font colour.",,,
Protocol,,A set of rules used to allow devices to communicate with each other. ,A set of rules used to allow devices to communicate with each other.,,,A set of rules that enable two processes to communicate.,,,
Pseudo-random,,,,This type of random number is generated using mathematical algorithms which are computer-generated and therefore highly predictable.,,,,,
Pseudocode,,,,Informal steps for an algorithm using structured English.,,"In encrypted communication systems, the plaintext is the original unencrypted message.",,,
Public key,,,,,,An encryption key that is made widely available and is used in conjunction with a corresponding private key for public/private key cryptography.,,,
Public key encryption,,,,,,"An asymmetric encryption method that uses a pair of keys, one public and one private.",,,
Push,,,,,,The process of adding an item to the top of a stack.,,,
Pythonista,,,,A programmer that uses Python as their desired programming language.,,,,,
Queue,,,,,,"An abstract data type that defines a list of items one after another with a front and a rear. A queue is a FIFO (first in, first out) structure.",,,
Quick sort,,,,,,An algorithm that sorts a list by repeatedly selecting a pivot value around which the list is systematically rearranged until the whole list is sorted.,,,
RAM,,,,,,Random-Access Memory. Memory in which the locations can be accessed directly in any order,,,
Rational numbers,,,,,,The infinite set of all numbers that can be expressed as fractions (or ratios).,,,
Read mode,,,,,,A file handling mode that allows a program to read data from a file.,,,
Real division,,,,In real division there are no remainders because the resulting value can be a decimal number. For example 7 ÷ 3 will be calculated as 2.3333333333333335.,,,,,
Real number,,,,A decimal number.,,Any positive or negative number with or without a fractional part.,,,
Rear,,,,,,A pointer to the end of a queue.,,,
Record,,A data structure that stores related fields of data for a single object or being.,,A collection of attributes for a single entity.,,A data structure that can be used to store multiple pieces of data that relate to the same thing. Each piece of data can have a different data type.,,,
Recursive problem,,,,A record is a data structure that allows multiple data types to be referenced under a single identifier. (AQA),,A problem that is defined in terms of itself.,,,
Recursive subroutine,,,,,,A subroutine that calls itself.,"where the same subprogram is called repeatedly (with the revised data). When the result is found, the automatic way in which the computer handles the return from the subprogram ensures that execution will continue from the calling point.",,
Reduce/fold function,,,,,,A function that reduces a list to a single value by repeatedly applying a folding function.,,,
Referential integrity,,,,,,"Requires that if a value of one attribute references a value of another attribute, then the referenced value must exist.",,,
Register,,,,,,Storage location within the processor.,,,
Regular expression,,,,,,Formal notation that defines a valid string for a regular language.,,,
Rehashing,,,,,,The process of applying a hashing algorithm again when a collision has occurred.,,,
Relational operator,,,,,,Operator such as > (greater than) or = (equals) that performs comparisons on pieces of data.,,,
"Relational Operators are those that are used to compare the relationship between 2
variables or values.  (AQA)",,,,"Relational Operators are those that are used to compare the relationship between 2
variables or values. This could be one of the following: (AQA)",,,Examples of relational operators include equals ‘=’ and less than ‘<’. Relational operators compare data and produce an answer of true or false. ,,
Repetition,,Part of a program where one or more commands are run multiple times in a loop.,,,,,,,
REST,,,,,,Representational State Transfer. An architecture style for developing web services.,,,
Return value,,,,A value that is returned by a function.,,,,,
RFID,,,,,,Radio Frequency Identification. A system that uses electromagnetic fields to read data from tags attached to objects.,,,
RLE,,,,"A lossless compression algorithm that involves finding a run of bit patterns, counting the number of occurrences and creating a data pairing using the bit pattern and the number of occurrences. ",,Run Length Encoding. A lossless compression method where repeated runs of binary data are represented by a single instance of the data and the number of repetitions.,,,
Robustness,,,,A program is robust when it does not produce any errors during execution.,,,,,
ROM,,,,,,"Read Only Memory. Memory that can be read from, but not written to.",,,
Rounding,,,,,,The process of reducing the number of digits in a number by examining the digits that follow that will be discarded.,,,
Router,,A device which manages the flow of data between computer networks.,,,,"A networking device with two or more interfaces, each in a different network. It examines the destination IP address of incoming packets to decide which interface to use to forward the packet.",,,
RPN,,,,,,Reverse Polish Notation. A type of postfix notation where expressions are written with the operators after the operands.,,,
RTS/CTS,,,,,,Request to Send/Clear to Send. A pair of signals that can be used to manage the process of sending data over a wireless network.,,,
Run (Execute),to action the commands in a program,to action the commands in a program,,,,,,,
Run length encoding,,,,,,,,,
Sample,,,,,,,,,
Sample resolution,,,,The number of bits used to represent the voltage recorded at a section of the wave,,The number of bits used to encode each sample. Determines how accurately the sample can be represented. Also called bit depth.,,,
Sample size,,,,,,,,,
Sampling,,,,Taking a sample of the sound wave at certain time intervals ,,"A method of capturing analogue data so that it can be converted to digital form, for example, by measuring sound at fixed intervals.",,,
Sampling frequency,,,,,,,,,
Sampling rate,,,,A number to show how many samples of the wave are taken per second,,The number of samples captured per second. Expressed in hertz (where 1Hz is one sample per second).,,,
Scalar,,,,,,A single element of a number set.,,,
Scheduling algorithm,,,,,,An algorithm that determines the order in which an operating system will execute queued processes.,,,
Schema,,,,,,A description of the structure of a file in formal language.,,,
Scope,,,,The scope of a variable is the section of the program where the variable can be accessed and modified.,,Defines the area of a program where an entity - typically a variable - is valid and can be used. A variable with global scope can be used anywhere in the program.,is the range of statements for which a variable is valid.,,
Secondary storage,,,,,,Types of non-volatile memory that are used to permanently store data such as the operating system and user files.,,,
Selection,,Part of a program where if a condition is met then a set of commands are run,,Controlling the flow of execution in programs using if statements.,Selection when there are multiple paths for a program to follow,"A program control structure with a logical test, or sequence of tests, that evaluate(s) to True or False. It allows subsequent statements to be run selectively depending on the outcome of the test(s).","The main control structures provide for sequencing, selecting and iterating as the program executes. There are loops and conditional statements, provided by programming language statements such as for loop, repeat … until loop, while loop, if … then and case statements.",,
Selector (CSS),,,,,,"The target of a style rule. This can be an HTML element, an id, or a class.",,,
Sense HAT,,,,Hardware that attaches to the top of a Raspberry Pi computer and allows you to write programs that collect data from sensors. The Sense HAT also has an LED matrix for displaying output.,,,,,
Sense HAT emulator,,,,A digital representation of the physical Sense HAT device.,,,,,
Sensor,,an input device that allows a computer to collect data from the physical environment,,A tool that collects data.,,,,,
Sequence,,The order of commands in a program.,,"The sequence of a program is performed from top to bottom, executing each line in turn.",,"A set of instructions that will be carried out, one after another, in the stated order.",,,
Serial transmission,,,,,,A method of data transmission where bits are sent one at a time over a single wire.,,,
Serialisation,,,,,,A method of handling concurrent updates to a database.,,,
Server,,"A networked computer that manages, stores and provides data such as files to other computers. ",,,,,,,
Set,,,,,,An unordered collection of unique elements of the same data type.,,,
Shifts / Shifting,,,,A term used to describe shifting bits to the right or the left to change their place value. Shifting right results in division and shifting left results in multiplication.,,,,,
Shortest path,,,,,,The sequence of edges between two nodes of a graph with the lowest total weight.,,,
Sign and magnitude,,,,A method for representing signed integers. The most significant bit is used as a sign bit to represent positive or negative. A 1 indicates a number is negative and a 0 indicates a number is positive. The remaining values are used to represent the size (magnitude) of the number. ,,A method of representing signed (i.e. negative and positive) numbers where the most significant bit is used as a sign bit and has no place value.,,,
Signed integers,,,,These can be positive or negative numbers. The first bit of a binary representation is used to show if the integer is positive or negative.,,,,,
SMTP,,,,,,An application layer protocol that handles the sending of emails.,,,
Socket,,,,,,An addressable location that provides an endpoint for communication between two internet hosts. Sockets are addressed via their port number.,,,
Software,,The programs used to control computers and perform specific tasks,,,,"A generic term used to refer to applications, scripts, programs and systems that run on a device and execute specific tasks.",,,
Software development,,,,,,The process of developing a computer system.,,,
Solid-state disk (SSD),,,,,,A form of flash memory that is non-volatile. Binary data is stored in electrical circuits and can be accessed at random.,,,
Sound waves,,,,A pattern of movement that moves away from the sound source,,,,,
Source code,,,,,,Program code that has not been compiled.,,,
Space complexity,,,,,,The amount of memory needed to run an algorithm relative to the size of its input.,,,
Split method,,,,The split method takes a string and splits it when it finds a defined character. The result will be held as a list.,,,,,
Spreadsheet,,,,A document where data can be arranged in rows and columns. A spreadsheet can be used to sort and perform calculations on data.,,,,,
Sprite,,A 2D graphical object that can be controlled by a program.. ,,,,,,,
SQL,,,,,,Structured Query Language. A declarative language designed for managing data held in a relational database management system,,,
SQL statement,,,,,,A statement that is run against a database to select or manipulate data.,,,
SSH,,,,,,Secure Shell. A protocol that allows for data to be encrypted.,,,
Stack,,,,,,"An abstract data type that defines a linear structure where the last item to be added is the first item to be removed (called last in, first out or LIFO).",,,
Stack frame,,,,,,An entry of the call stack for a specific instance of an active subroutine. The frame will contain the values of parameters and local variables and the address to be returned to when the instance is removed from the stack.,,,
Stage-by-stage approach,,,,,,An approach to systems development where each stage is completed before the next stage is started.,,,
Star topology,,,,,,"The arrangement (usually physical) of a network where devices are connected through a central point, e.g. a switch.",,,
Start bit,,,,,,A bit that is sent to signify the start of transmission when using asynchronous communication.,,,
State transition diagram,,,,,,An image that represents the logic of a finite state machine,,,
State transition table,,,,,,A table that represents the logic of a finite state machine,,,
Static data structure,,,,,,A collection of data whose size cannot change during program runtime.,,,
Static filtering,,,,,,"A method used by a firewall, that checks traffic against a list of rules to determine whether the traffic should be allowed to pass through.",,,
Status Register (SR),,,,,,A register that keeps track of the state of the processor. The different bits are used as status flags.,,,
Stop bit,,,,,,A bit that is sent to signify the end of transmission when using asynchronous communication.,,,
Stored (data),,data kept digitally so that it can be accessed by a computer,,,,,,,
Stored program concept,,,,,,"The fundamental idea that program instructions are stored in main memory from where they are fetched, decoded and executed by the processor.",,,
String,,,,A value that is text. This can include numbers but they will be read as text.,,"A sequence of characters, e.g. letters, numbers, spaces, and other symbols.",,,
String,,,,"A sequence of characters, e.g. letters, numbers, spaces, and other symbols.",,"A sequence of characters, e.g. letters, numbers, spaces, and other symbols.",,,
String functions,,,,"String functions are sub routines, built into the programming language in order to
manipulate the string data type. (AQA)",,,,,
String handling,,,,Performing operations on string.,,,,,
String length,,,,,,The number of characters in a string.,,,
Strong password,,,,,,A password that is hard to crack because it would take a hacker too many attempts to use brute force to guess it correctly within a useful timeframe.,,,
Structure chart,,,,A top-down diagram used to design the structure of the subroutines required for completing a program.,,,,,
Structured English,,,,,,A limited form of pseudocode used to express an algorithm.,,,
Structured programming,,,,"A programming paradigm where sequence, selection, iteration and subroutines are used to control the flow of execution. Each block of code in a structured program has a single entry point and a single exit point.",,,,,
Style (CSS),,,,,,Used to describe how a particular HTML element or collection of HTML elements on a webpage should look.,,,
Stylus,,,,,,"A pen designed specifically to interact with touchscreens, such as a smartphone or graphic tablet.",,,
Subnet mask,,,,,,A bitmask that allows the network ID to be revealed from an IP address for routing purposes.,,,
Subroutine,,A commands of instructions to perform a specific task with an identifiable name.,,A sequence of instructions to perform a specific task with an identifiable name.,,A named section of code that can be called to perform a specific task by using the subroutine identifier in a program statement. A subroutine can be either a procedure or a function.,is a subprogram that is generally written using a precise formal definition. The procedure is defined and given an identifier (or name). This identifier can be used subsequently just like any other program instruction.,,
Subroutine interface,,,,,,Defines how data must be passed into and out of a subroutine in terms of parameters and return values.,,,
Subset,,,,,,A set that is made up of some or all values from another set.,,,
Substitution cipher,,,,,,"A cipher where one character, or set of characters, is substituted by another character (or set of characters) according to a fixed system of substitution.",,,
Substring,,,,Part of a string.,,A part of a string.,,,
Subtraction,,,,Taking a value away from another value. E.g. 2 - 1 = 1,,,,,
Success criteria,,,,A list of key elements required in a programming solution based on the scenario or user requirements.,,,,,
Switch,,A device which manages the flow of data packets within a computer network,,,,A network component that is used to connect devices on a local area network. It learns which device is connected to each of its ports so that it can switch traffic directly to the correct recipient.,,,
Symmetric encryption,,,,,,A method of encryption where the same key is used to encrypt and decrypt a message.,,,
Synchronous communication,,,,,,A method of communication where data is transmitted over a channel at a constant rate controlled by a shared clock signal.,,,
Syntax,,,,"In programming, the language specific code that you write in has its own syntax. The syntax is unique to that programming language.",,The precise way that program statements must be written to be understood by the computer. It is specific to the programming language that you use.,,,
Syntax diagram,,,,,,A method of checking whether a string conforms to the grammar of a context-free language such as BNF.,,,
Syntax error,,,,An error where the code has been structured incorrectly and the syntax rules haven’t been followed.,,,,,
System clock,,,,,,"An oscillator that produces a continuous stream of alternating signals, interpreted as $1$s and $0$s. The clock signal is carried to every component of the computer system to synchronise operations.",,,
System objectives,,,,,,A list of objectives that a new or replacement computer system must satisfy.,,,
System requirements,,,,,,The specification of precisely what needs to be achieved by a new or replacement computer system.,,,
System software,,,,,,Software that interfaces with the hardware of the computer system and performs tasks that are machine-oriented.,,,
Table (Database),,A collection of related data in a database. It consists of individual rows each representing a unique record and columns representing a field in the record,,,,,,,
Tabular format,,,,Displaying data in a grid of rows and columns.,,,,,
Tail function,,,,,,A function that returns a list of items without its head.,,,
TCP/IP stack,,,,,,A conceptual four-layer model and set of protocols for internet communications.,,,
Technology,The use of scientific knowledge for practical purposes,The use of scientific knowledge for practical purposes,,,,,,,
Terabyte,,,,A measurement of storage that is equivalent to 1000 gigabytes,,,,,
Terminator,,,,Oval shapes used to show the start and end of a flowchart.,,"A device at the end of a network cable, that absorbs data signals, to prevent them reflecting back.",,,
Test data,,,,,,"Data that has been carefully selected for testing. It should include normal, boundary, and invalid values as appropriate.",,,
Testing,,,,,,"The systematic process of checking that a subroutine, program, or system works as expected.",,,
Text editor,,,,,,A piece of software designed to display text files and allow users to edit them. Examples include Notepad and TextEdit.,,,
Text file,,,,A file stored on a computer that contains plain text.,,"A file containing character data, with no special formatting. Examples of text file type extensions include '.txt' and '.csv'. Text files can be read and made sense of by humans as well as by computer systems.",,,
Third party libraries,,,,Code that has not been written by the Python developer or you that can be imported into your programs to save you from writing them yourself if you don’t have the time or necessary skills.,,,,,
Time complexity,,,,,,The amount of time needed to run an algorithm relative to the size of its input.,,,
Time slice,,,,,,A slot of time allocated to a computer process so that multiple processes can appear to be running at the same time.,,,
Tokenisation,,,,,,The process of assigning token names to code elements as part of the process of compiling a program.,,,
Top,,,,,,A pointer to the top of a stack.,,,
Topology,,,,,,The physical or logical arrangement of connections and devices in a network.,,,
Trace table,,,,An error checking method that steps through each line of code in a program and records the state of the variables and conditions.,,A table with a column for each variable that allows its values to be recorded during a dry run of the code (or pseudocode).,,,
Tractable problem,,,,,,A problem that can be solved by a computer system in a reasonable amount of time.,,,
Transition function,,,,,,"A set of rules for a Turing machine that use the current state and input symbol to determine the output symbol, next state, and movement of the head.",,,
Translator,,,,This executes the programs that programmers write in high level languages.,,A piece of system software that converts code written by a programmer into a form that can be executed by a computer system.,,,
Traverse,,,,Move through a sequence.,,,,,
Tree,,,,,,A graph that is fully connected with no cycles.,,,
Tree traversal,,,,,,The systematic process of visiting (checking/updating) each node in a tree exactly once.,,,
Trojan,,,,,,A piece of malware that is hidden inside another file in a computer system.,,,
True-random number,,,,This type of random number is generated using unpredictable physical means such as atmospheric noise.,,,,,
Truncation,,,,"This is when we discard numbers after a certain point without rounding. 

For example, the value 3.14159265 can be truncated to 3.1415

Note that the value hasn’t been rounded because a rounded value would be 3.1416",,The operation of cutting off characters or digits at the start or the end of a number or a (text) string.,,,
Truth table,,,,A table that lists the outputs of all possible input combinations.,,A table showing the outputs for all possible combinations of inputs to a logic gate or a circuit made up of logic gates.,,,
Try and except,,,,A data validation check to see if the data entered can be accepted by the program. If a defined error occurs the user will be prompted with a warning.,,,,,
Turing machine,,,,,,"A model of computation that defines computability. Its components are a read/write head, an infinite tape, and a set of transition functions.",,,
Two's complement,,,,"A method for representing signed integers. With two’s complement, the most significant bit has a negative place value. ",,A method of representing signed (i.e. negative and positive) numbers where the most significant bit has a negative place value.,,,
UDP,,,,,,User Datagram Protocol. A transport layer protocol that prioritises the speed of data transmission over reliability.,,,
Underflow,,,,When the result of a calculation is too small (or too close to 0) to be stored in the allocated number of bits.,,Occurs when the result of a calculation is a number that is too small to be represented.,,,
Unicode,,,,An international coding standard that uses either 16 bits or 32 bits to represent each character. The first 128 characters are the same as ASCII. ,,"An encoding format that allocates a numeric code to characters in order for them to be represented in binary within a computer system. Unicode covers the characters for most known alphabets and special symbols (e.g. mathematical operators, geometric shapes, arrows, emojis, etc.).",,,
Union,,,,,,A set operation between two or more sets that results in a new set that contains all the distinct elements from the original sets.,,,
Universal standard,,,,A rule that is agreed upon by experts in the field as a standard to be used. ,,,,,
Universal Turing machine,,,,,,A model of a computing machine that can simulate any Turing machine by reading a description of the machine from its own tape,,,
Upload,,The process of sending data or files to a remote computer. Files sent to remote computers are often referred to as uploads.,,,,,,,
Unsigned integers,,,,These are always positive whole numbers. All of the bits are used to represent the significant digits of the number ,,,,,
URL (Uniform Resource Locator) ,,The address of a file on the internet,,,,Uniform Resource Locator. The address of a resource on the internet. It indicates the location of a resource as well as the protocol used to access it.,,,
User,,,,,,The person interacting with a computer system through its user interface.,,,
Utility software,,,,,,A subcategory of system software that improves the security or performance of a computer system. Examples include antivirus software and registry cleaners.,,,
UTP (Ethernet) cable,,,,,,Unshielded Twisted Pair cable. A type of cable where two conductors are twisted together to reduce interference.,,,
Value,,The data stored in a database field or in a programming variable,,,,,,,
Variable,,A named piece of data (often a number or text) stored in a computer’s memory which can be accessed and changed by a computer program.,An identifier associated with an area of computer memory in which data is stored. The data can change as needed,"A named piece of data, stored in a memory location in a computer. The data can change as needed.",,An identifier associated with an area of computer memory in which data is stored. The data can change during program execution.,"is the identifier (or name) associated with a particular memory location used to store data. By using a name the programmer can store, retrieve and manipulate data without knowing what the data will be.",,
Vector,,,,,,An abstract data type that defines a collection of entries drawn from the same field.,,,
Vector graphic,,"A type of computer graphic made up of lines, curves and shapes which are stored as values",,,,An image that is stored as a set of instructions to recreate it. Uses a drawing list made up of a set of objects and their properties.,,,
Venn diagram,,,,,,"An illustration that uses circles to show the relationships between different groups of elements. Where the circles overlap, it shows that there are elements in common.",,,
Vernam cipher,,,,,,An encryption method where each character is combined with a corresponding key character using a logical bitwise XOR operation.,,,
vertex,,,,,,A fundamental unit of data within a graph data structure. Also called node.,,,
Virtual network,,,,,,A network whose logical structure is independent of its physical structure. A VLAN is a virtual local area network.,,,
Virtual Storage,,,,,,A method of storing and retrieving files using the internet.,,,
Virus,,,,,,Malware in the form of a program that attaches itself to another file and can replicate itself when the file is executed.,,,
Visited list,,,,,,The set of nodes of a graph that have been fully explored,,,
Visualisation,,,,,,A variety of techniques used to illustrate a problem and/or its solution to make it easier to understand.,,,
Von Neumann architecture,,,,,,A computer architecture that provides a single shared memory for data and instructions.,,,
Vulnerability,,,,,,"A weakness in a computer system that leaves it open to attack, such as an insecure wireless network or unpatched software.",,,
WAP (Wireless Access Point),,A network device that allows wireless computing devices to connect to a wired network,,,,,,,
Waterfall lifecycle,,,,,,A linear approach to software development where each stage is completed before the next stage begins.,,,
Web,,SEE: WWW (World Wide Web),,,,,,,
Web Address,,SEE: URL (Uniform Resource Locator),,,,,,,
Web Browser,,"A program used to view, navigate, and interact with web pages ",,,,,,,
Web Page,,A HTML document viewed using a web browser,,,,,,,
Website,,"A collection of interlinked web pages, stored under a single domain",,,,,,,
Websocket protocol,,,,,,A set of rules that allows two computers to share a dedicated channel for the exchange of web page content.,,,
Weight,,,,,,A value associated with an edge in a graph.,,,
Weighted graph,,,,,,A graph where values are assigned to the edges.,,,
While loop,,,,A loop that will continue to iterate whilst its condition evaluates as True.,,,,,
White box testing,,,,,,A method of testing where all possible routes through a program are identified and tested.,,,
Wi-Fi,,,,,,A family of wireless network protocols that allow devices to communicate over a local network using radio waves.,,,
WiFi,,A technology that allows devices to wirelessly access a network and transfer data.,,,,A technology that allows devices to wirelessly access a network and transfer data.,,,
Worm,,,,,,Malware that is able to replicate itself and does not need to use another file as a vector.,,,
WPA/2/3,,,,,,A protocol for encrypting data on a wireless network.,,,
Write mode,,,,,,"A file handling mode that allows a program to write data to a file. If the file does not exist, a new file is created, while if the file already exists, the content is overwritten.",,,
WWW (World Wide Web),,A service provided via the internet which allows us to access web pages and other shared files,,,,,,,
XML,,,,,,Extensible Markup Language. An open file format that uses human-readable text for data transmission.,,,
XOR,,,,A Boolean / logical operator.,,"A Boolean operation that outputs True if either, but not both, of the input values are True",,,
